model_id,difficulty,n,accuracy,mean_confidence,overconfidence_gap,ece
claude_haiku,easy,900,0.9255555555555556,0.8845,-0.04105555555555562,0.042966666666666646
claude_haiku,medium,900,0.89,0.8689555555555555,-0.021044444444444532,0.04517777777777771
claude_haiku,hard,900,0.8688888888888889,0.8802666666666666,0.011377777777777709,0.03713333333333337
gemini_flash,easy,900,0.9488888888888889,0.9901111111111112,0.04122222222222227,0.044555555555555404
gemini_flash,medium,900,0.8755555555555555,0.992111111111111,0.11655555555555552,0.11655555555555563
gemini_flash,hard,900,0.8044444444444444,0.9929444444444444,0.1885,0.1885
gpt4o_mini,easy,900,0.8466666666666667,0.8744444444444445,0.02777777777777779,0.03611111111111116
gpt4o_mini,medium,900,0.7833333333333333,0.8697222222222222,0.08638888888888885,0.08805555555555553
gpt4o_mini,hard,900,0.5144444444444445,0.8680555555555556,0.3536111111111111,0.3536111111111111
