model_id,n,accuracy,accuracy_ci_lo,accuracy_ci_hi,mean_confidence,overconfidence_gap,gap_ci_lo,gap_ci_hi,ece,ece_ci_lo,ece_ci_hi,conf_sd,pct_conf_ge_95
claude_haiku,2700,0.8948148148148148,0.8833240740740741,0.9066666666666666,0.8779074074074072,-0.016907407407407593,-0.027159907407407365,-0.005687962962963044,0.03278888888888895,0.023395740740740932,0.043733796296296375,13.369749141814497,0.4262962962962963
gpt4o_mini,2700,0.7148148148148148,0.6974074074074074,0.7311203703703704,0.8707407407407407,0.1559259259259259,0.13984814814814808,0.17270416666666677,0.15703703703703692,0.14108703703703698,0.1751856481481481,3.5848465182158877,0.04925925925925926
gemini_flash,2700,0.8762962962962964,0.8633333333333333,0.8885185185185185,0.9917222222222223,0.11542592592592593,0.1040740740740741,0.12859629629629638,0.1165370370370371,0.10396296296296303,0.12941018518518504,2.4593709804267427,0.9555555555555556
