bank,model_id,n,accuracy,mean_confidence,overconfidence_gap,ece
original_180,claude_haiku,900,0.9111111111111111,0.8907111111111111,-0.020399999999999974,0.03664444444444449
original_180,gpt4o_mini,900,0.7255555555555555,0.874,0.1484444444444445,0.1517777777777778
original_180,gemini_flash,900,0.8744444444444445,0.9918888888888888,0.11744444444444435,0.1191111111111111
full_540,claude_haiku,2700,0.8948148148148148,0.8779074074074072,-0.016907407407407593,0.03278888888888895
full_540,gpt4o_mini,2700,0.7148148148148148,0.8707407407407407,0.1559259259259259,0.15703703703703692
full_540,gemini_flash,2700,0.8762962962962964,0.9917222222222223,0.11542592592592593,0.1165370370370371
