model_id,n,dk_slope,dk_se,dk_ci_lo,dk_ci_hi,dk_p_value,dk_r_squared,spearman_rho,spearman_p
claude_haiku,267,0.02822478659500458,0.01992195126589092,-0.01100066448631044,0.0674502376763196,0.1577252047341649,0.007517519485609525,-0.03487800564330201,0.5704355952463918
llama3.1,360,0.12145833333333314,0.030100438886402372,0.062262433396589704,0.18065423327007657,6.676093149954017e-05,0.04350207611066115,0.1700272838314331,0.0012018843179759865
mistral,359,0.0949428904428905,0.03215025049902124,0.0317152045833403,0.1581705763024407,0.0033543466986955205,0.023845504696229702,0.20766288359839713,7.363429026510608e-05
